864.9 -5508.19 1.125 -5508.19
865.092 -5489.39 1.12525 -5489.39
865.284 -5470.62 1.1255 -5470.62
865.477 -5451.87 1.12575 -5451.87
865.669 -5433.15 1.126 -5433.15
865.861 -5414.45 1.12625 -5414.45
866.053 -5395.78 1.1265 -5395.78
866.245 -5377.13 1.12675 -5377.13
866.438 -5358.5 1.127 -5358.5
866.63 -5339.9 1.12725 -5339.9
866.822 -5321.33 1.1275 -5321.33
867.014 -5302.78 1.12775 -5302.78
867.206 -5284.25 1.128 -5284.25
867.399 -5265.75 1.12825 -5265.75
867.591 -5247.28 1.1285 -5247.28
867.783 -5228.83 1.12875 -5228.83
867.975 -5210.4 1.129 -5210.4
868.167 -5192 1.12925 -5192
868.36 -5173.62 1.1295 -5173.62
868.552 -5155.27 1.12975 -5155.27
868.744 -5136.95 1.13 -5136.95
868.936 -5118.65 1.13025 -5118.65
869.128 -5100.37 1.1305 -5100.37
869.321 -5082.12 1.13075 -5082.12
869.513 -5063.9 1.131 -5063.9
869.705 -5045.7 1.13125 -5045.7
869.897 -5027.52 1.1315 -5027.52
870.089 -5009.37 1.13175 -5009.37
870.282 -4991.24 1.132 -4991.24
870.474 -4973.14 1.13225 -4973.14
870.666 -4955.07 1.1325 -4955.07
870.858 -4937.02 1.13275 -4937.02
871.05 -4918.99 1.133 -4918.99
871.243 -4901 1.13325 -4901
871.435 -4883.02 1.1335 -4883.02
871.627 -4865.07 1.13375 -4865.07
871.819 -4847.15 1.134 -4847.15
872.011 -4829.25 1.13425 -4829.25
872.204 -4811.38 1.1345 -4811.38
872.396 -4793.53 1.13475 -4793.53
872.588 -4775.71 1.135 -4775.71
872.78 -4757.91 1.13525 -4757.91
872.972 -4740.14 1.1355 -4740.14
873.165 -4722.39 1.13575 -4722.39
873.357 -4704.67 1.136 -4704.67
873.549 -4686.97 1.13625 -4686.97
873.741 -4669.3 1.1365 -4669.3
873.933 -4651.66 1.13675 -4651.66
874.126 -4634.04 1.137 -4634.04
874.318 -4616.45 1.13725 -4616.45
874.51 -4598.88 1.1375 -4598.88
874.702 -4581.33 1.13775 -4581.33
874.894 -4563.82 1.138 -4563.82
875.087 -4546.33 1.13825 -4546.33
875.279 -4528.86 1.1385 -4528.86
875.471 -4511.42 1.13875 -4511.42
875.663 -4494 1.139 -4494
875.855 -4476.61 1.13925 -4476.61
876.048 -4459.25 1.1395 -4459.25
876.24 -4441.91 1.13975 -4441.91
876.432 -4424.6 1.14 -4424.6
876.624 -4407.31 1.14025 -4407.31
876.816 -4390.05 1.1405 -4390.05
877.009 -4372.82 1.14075 -4372.82
877.201 -4355.61 1.141 -4355.61
877.393 -4338.43 1.14125 -4338.43
877.585 -4321.27 1.1415 -4321.27
877.777 -4304.14 1.14175 -4304.14
877.97 -4287.03 1.142 -4287.03
878.162 -4269.95 1.14225 -4269.95
878.354 -4252.9 1.1425 -4252.9
878.546 -4235.87 1.14275 -4235.87
878.738 -4218.87 1.143 -4218.87
878.931 -4201.89 1.14325 -4201.89
879.123 -4184.94 1.1435 -4184.94
879.315 -4168.01 1.14375 -4168.01
879.507 -4151.12 1.144 -4151.12
879.699 -4134.24 1.14425 -4134.24
879.892 -4117.4 1.1445 -4117.4
880.084 -4100.58 1.14475 -4100.58
880.276 -4083.78 1.145 -4083.78
880.468 -4067.02 1.14525 -4067.02
880.66 -4050.28 1.1455 -4050.28
880.853 -4033.56 1.14575 -4033.56
881.045 -4016.87 1.146 -4016.87
881.237 -4000.21 1.14625 -4000.21
881.429 -3983.57 1.1465 -3983.57
881.621 -3966.96 1.14675 -3966.96
881.814 -3950.38 1.147 -3950.38
882.006 -3933.82 1.14725 -3933.82
882.198 -3917.29 1.1475 -3917.29
882.39 -3900.78 1.14775 -3900.78
882.582 -3884.31 1.148 -3884.31
882.775 -3867.85 1.14825 -3867.85
882.967 -3851.43 1.1485 -3851.43
883.159 -3835.03 1.14875 -3835.03
883.351 -3818.66 1.149 -3818.66
883.543 -3802.31 1.14925 -3802.31
883.736 -3785.99 1.1495 -3785.99
883.928 -3769.7 1.14975 -3769.7
884.12 -3753.43 1.15 -3753.43
884.312 -3737.19 1.15025 -3737.19
884.504 -3720.98 1.1505 -3720.98
884.697 -3704.79 1.15075 -3704.79
884.889 -3688.64 1.151 -3688.64
885.081 -3672.5 1.15125 -3672.5
885.273 -3656.4 1.1515 -3656.4
885.465 -3640.32 1.15175 -3640.32
885.658 -3624.27 1.152 -3624.27
885.85 -3608.24 1.15225 -3608.24
886.042 -3592.24 1.1525 -3592.24
886.234 -3576.27 1.15275 -3576.27
886.426 -3560.33 1.153 -3560.33
886.619 -3544.41 1.15325 -3544.41
886.811 -3528.52 1.1535 -3528.52
887.003 -3512.66 1.15375 -3512.66
